objectid,title,artist,date,medium,acquisition,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
01-allen,"The Contents of 
Betty's Jewelrybox",Judith Allen-Efstathiou,2015,Cyanotype,MAPS I (2015) Collection.,cyanotype; still life; jewelry; blue; maine,"Portland, Maine, United States",43.65625286,-70.26126293,"MAPS Collection, Portland, Maine, United States",maps-01-allen,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-allen.jpg,/objects/small/01-allen_sm.jpg,/objects/thumbs/01-allen_th.jpg,"Judith Allen-Efstathiou - ""The Contents of 
Betty's Jewelrybox""",
01-bryant-1,Better Comes Naturally,Kyle Bryant,2015,Linocut,MAPS I (2015) Collection.,linocut; art practice; figure; architecture; black and white; maine,"Portland, Maine, United States",43.65625286,-70.26126293,"MAPS Collection, Portland, Maine, United States",maps-01-bryant-1,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-bryant-1.jpg,/objects/small/01-bryant-1_sm.jpg,/objects/thumbs/01-bryant-1_th.jpg,"Kyle Bryant - ""Better Comes Naturally""",
01-bryant-2,Birds,Kyle Bryant,2015,Linocut,MAPS I (2015) Collection.,linocut; birds; architecture; city; black and white; maine,"Portland, Maine, United States",43.65625286,-70.26126293,"MAPS Collection, Portland, Maine, United States",maps-01-bryant-2,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-bryant-2.jpg,/objects/small/01-bryant-2_sm.jpg,/objects/thumbs/01-bryant-2_th.jpg,"Kyle Bryant - ""Birds""",
01-fulkerson,Untitled,Clint Fulkerson,2015,Woodcut,MAPS I (2015) Collection.,woodcut; geometic; amoeba; black and white; maine,"Portland, Maine, United States",43.65625286,-70.26126293,"MAPS Collection, Portland, Maine, United States",maps-01-fulkerson,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-fulkerson.jpg,/objects/small/01-fulkerson_sm.jpg,/objects/thumbs/01-fulkerson_th.jpg,"Clint Fulkerson - ""Untitled""",
01-kinsella,"Octopus I, Leviathan",Colleen Kinsella,2015,Etching,MAPS I (2015) Collection.,etching; ink; sea; octopus; color; maine,"Portland, Maine, United States",43.65625286,-70.26126293,"MAPS Collection, Portland, Maine, United States",maps-01-kinsella,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-kinsella.jpg,/objects/small/01-kinsella_sm.jpg,/objects/thumbs/01-kinsella_th.jpg,"Colleen Kinsella - ""Octopus I, Leviathan""",
01-kojima,"Late-in-Autumn in
Tsugaru area in Aomori",Kazuhiko Kojima,2015,Woodcut,MAPS I (2015) Collection.,woodcut; lanscape; nature; black and white; japan,"Aomori City, Aomori, Japan",40.75485243,140.7718303,"MAPS Collection, Portland, Maine, United States",maps-01-kojima,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-kojima.jpg,/objects/small/01-kojima_sm.jpg,/objects/thumbs/01-kojima_th.jpg,"Kazuhiko Kojima - ""Late-in-Autumn in
Tsugaru area in Aomori""",
01-kudo,Setsutohka,Reiko Kudoh,2015,Woodcut,MAPS I (2015) Collection.,woodcut; lanscape; nature; black and white; japan,"Aomori City, Aomori, Japan",40.75485243,140.7718303,"MAPS Collection, Portland, Maine, United States",maps-01-kudo,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-kudo.jpg,/objects/small/01-kudo_sm.jpg,/objects/thumbs/01-kudo_th.jpg,"Reiko Kudoh - ""Setsutohka""",
01-marks,Ice Out / We Move,Mike Marks,2015,Relief print,MAPS I (2015) Collection.,relief; geometic; collage; color; maine,"Portland, Maine, United States",43.65625286,-70.26126293,"MAPS Collection, Portland, Maine, United States",maps-01-marks,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-marks.jpg,/objects/small/01-marks_sm.jpg,/objects/thumbs/01-marks_th.jpg,"Mike Marks - ""Ice Out / We Move""",
01-nadal,High Praise,Pilar Nadal,2015,Letterpress,MAPS I (2015) Collection.,letterpress; typography;overlay; color; maine,"Portland, Maine, United States",43.65625286,-70.26126293,"MAPS Collection, Portland, Maine, United States",maps-01-nadal,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-nadal.jpg,/objects/small/01-nadal_sm.jpg,/objects/thumbs/01-nadal_th.jpg,"Pilar Nadal - ""High Praise""",
01-ohsaka,Mt. Hakkoda in blazing tinted leaves,Mitsuo Ohsaka,2015,Woodcut,MAPS I (2015) Collection.,woodcut; lanscape; nature; color; japan,"Aomori City, Aomori, Japan",40.75485243,140.7718303,"MAPS Collection, Portland, Maine, United States",maps-01-ohsaka,Image;StillImage,image/jpeg,eng,"metadata-only record, copyright held by the artist",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/01-ohsaka.jpg,/objects/small/01-ohsaka_sm.jpg,/objects/thumbs/01-ohsaka_th.jpg,"Mitsuo Ohsaka - ""Mt. Hakkoda in blazing tinted leaves""",
